kode_bps,nama_bps,kode_dagri,nama_dagri
1409,ROKAN HILIR,14.07,KAB.  ROKAN HILIR
1410,KEPULAUAN MERANTI,14.1,KAB. KEPULAUAN MERANTI
1471,PEKANBARU,14.71,KOTA PEKANBARU
1473,D U M A I,14.72,KOTA DUMAI
1501,KERINCI,15.01,KAB.  KERINCI
1502,MERANGIN,15.02,KAB.  MERANGIN
1503,SAROLANGUN,15.03,KAB. SAROLANGUN
1504,BATANG HARI,15.04,KAB. BATANGHARI
1505,MUARO JAMBI,15.05,KAB.  MUARO JAMBI
1506,TANJUNG JABUNG TIMUR,15.07,KAB. TANJUNG JABUNG TIMUR
1507,TANJUNG JABUNG BARAT,15.06,KAB. TANJUNG JABUNG BARAT
1508,TEBO,15.09,KAB. TEBO
1509,BUNGO,15.08,KAB. BUNGO
1571,JAMBI,15.71,KOTA JAMBI
1572,SUNGAI PENUH,15.72,KOTA SUNGAI PENUH
1601,OGAN KOMERING ULU,16.01,KAB. OGAN KOMERING ULU
1602,OGAN KOMERING ILIR,16.02,KAB. OGAN KOMERING ILIR
1603,MUARA ENIM,16.03,KAB. MUARA ENIM
1604,LAHAT,16.04,KAB. LAHAT
1605,MUSI RAWAS,16.05,KAB. MUSI RAWAS
1606,MUSI BANYUASIN,16.06,KAB. MUSI BANYUASIN
1607,BANYU ASIN,16.07,KAB. BANYUASIN
1608,OGAN KOMERING ULU SELATAN,16.09,KAB. OGAN KOMERING ULU
1609,OGAN KOMERING ULU TIMUR,16.08,KAB. OGAN KOMERING ULU
1610,OGAN ILIR,16.1,KAB. OGAN ILIR
1611,EMPAT LAWANG,16.11,KAB. EMPAT LAWANG
1612,PENUKAL ABAB LEMATANG ILIR,16.12,KAB. PENUKAL ABAB LEMATANG
1613,MUSI RAWAS UTARA,16.13,KAB. MUSI RAWAS UTARA
1671,PALEMBANG,16.71,KOTA PALEMBANG
1672,PRABUMULIH,16.74,KOTA PRABUMULIH
1673,PAGAR ALAM,16.72,KOTA PAGAR ALAM
1674,LUBUKLINGGAU,16.73,KOTA LUBUK LINGGAU
1701,BENGKULU SELATAN,17.01,KAB. BENGKULU SELATAN
1702,REJANG LEBONG,17.02,KAB. REJANG LEBONG
1703,BENGKULU UTARA,17.03,KAB. BENGKULU UTARA
1704,KAUR,17.04,KAB. KAUR
1705,SELUMA,17.05,KAB. SELUMA
1706,MUKOMUKO,17.06,KAB. MUKO MUKO
1707,LEBONG,17.07,KAB. LEBONG
1708,KEPAHIANG,17.08,KAB. KEPAHIANG
1709,BENGKULU TENGAH,17.09,KAB. BENGKULU TENGAH
1771,BENGKULU,17.71,KOTA BENGKULU
1801,LAMPUNG BARAT,18.04,KAB. LAMPUNG BARAT
1802,TANGGAMUS,18.06,KAB. TANGGAMUS
1803,LAMPUNG SELATAN,18.01,KAB. LAMPUNG SELATAN
1804,LAMPUNG TIMUR,18.07,KAB. LAMPUNG TIMUR
1805,LAMPUNG TENGAH,18.02,KAB. LAMPUNG TENGAH
1806,LAMPUNG UTARA,18.03,KAB. LAMPUNG UTARA
1807,WAY KANAN,18.08,KAB. WAY KANAN
1808,TULANGBAWANG,18.05,KAB. TULANG BAWANG
1809,PESAWARAN,18.09,KAB. PESAWARAN
1810,PRINGSEWU,18.1,KAB. PRINGSEWU
1811,MESUJI,18.11,KAB. MESUJI
1812,TULANG BAWANG BARAT,18.12,KAB. TULANG BAWANG BARAT
1813,PESISIR BARAT,18.13,KAB. PESISIR BARAT
1871,BANDAR LAMPUNG,18.71,KOTA BANDAR LAMPUNG
1872,METRO,18.72,KOTA METRO
1901,BANGKA,19.01,KAB. BANGKA
1902,BELITUNG,19.02,KAB. BELITUNG
1903,BANGKA BARAT,19.05,KAB. BANGKA BARAT
1904,BANGKA TENGAH,19.04,KAB. BANGKA TENGAH
1905,BANGKA SELATAN,19.03,KAB. BANGKA SELATAN
1906,BELITUNG TIMUR,19.06,KAB. BELITUNG TIMUR
1971,PANGKALPINANG,19.71,KOTA PANGKAL PINANG
2101,KARIMUN,21.02,KAB. KARIMUN
2102,BINTAN,21.01,KAB. BINTAN
2103,NATUNA,21.03,KAB. NATUNA
2104,LINGGA,21.04,KAB. LINGGA
2105,KEPULAUAN ANAMBAS,21.05,KAB. KEPULAUAN ANAMBAS
2171,B A T A M,21.71,KOTA BATAM
2172,TANJUNG PINANG,21.72,KOTA TANJUNG PINANG
3101,KEPULAUAN SERIBU,31.01,KAB. ADM. KEP. SERIBU
3171,JAKARTA SELATAN,31.74,KOTA ADM. JAKARTA SELATAN
3172,JAKARTA TIMUR,31.75,KOTA ADM. JAKARTA TIMUR
3173,JAKARTA PUSAT,31.71,KOTA ADM. JAKARTA PUSAT
3174,JAKARTA BARAT,31.73,KOTA ADM. JAKARTA BARAT
3175,JAKARTA UTARA,31.72,KOTA ADM. JAKARTA UTARA
3201,BOGOR,32.01,KAB. BOGOR
3202,SUKABUMI,32.02,KAB. SUKABUMI
3203,CIANJUR,32.03,KAB. CIANJUR
3204,BANDUNG,32.04,KAB. BANDUNG
3205,GARUT,32.05,KAB. GARUT
3206,TASIKMALAYA,32.06,KAB. TASIKMALAYA
3207,CIAMIS,32.07,KAB. CIAMIS
3208,KUNINGAN,32.08,KAB. KUNINGAN
