kode_bps,nama_bps,kode_dagri,nama_dagri
1209040,SIDAMANIK,12.08.09,SIDAMANIK
1209041,PEMATANG SIDAMANIK,12.08.10,PEMATANG SIDAMANIK
1209050,GIRSANG SIPANGAN BOLON,12.08.16,GIRSANG SIPANGAN
1209060,TANAH JAWA,12.08.11,TANAH JAWA
1209061,HATONDUHAN,12.08.12,HATONDUHAN
1209070,DOLOK PANRIBUAN,12.08.13,DOLOK PANRIBUAN
1209080,JORLANG HATARAN,12.08.06,JORLANG HATARAN
1209090,PANEI,12.08.04,PANEI
1209091,PANOMBEAN PANEI,12.08.05,PANOMBEIAN PANE
1209100,RAYA,12.08.29,RAYA
1209101,DOLOG MASAGAL,12.08.32,DOLOG MASAGAL
1209110,DOLOK SILAU,12.08.26,DOLOK SILAU
1209120,SILAU KAHEAN,12.08.27,SILOU KAHEAN
1209130,RAYA KAHEAN,12.08.07,RAYA KAHEAN
1209140,TAPIAN DOLOK,12.08.28,TAPIAN DOLOK
1209150,DOLOK BATU NANGGAR,12.08.17,DOLOK BATU NANGGAR
1209160,SIANTAR,12.08.01,SIANTAR
1209161,GUNUNG MALELA,12.08.02,GUNUNG MALELA
1209162,GUNUNG MALIGAS,12.08.03,GUNUNG MALIGAS
1209170,HUTABAYU RAJA,12.08.18,HUTA BAYU RAJA
1209171,JAWA MARAJA BAH JAMBI,12.08.19,JAWA MARAJA BAH
1209180,PEMATANG BANDAR,12.08.21,PEMATANG BANDAR
1209181,BANDAR HULUAN,12.08.22,BANDAR HULUAN
1209190,BANDAR,12.08.23,BANDAR
1209191,BANDAR MASILAM,12.08.24,BANDAR MASILAM
1209200,BOSAR MALIGAS,12.08.08,BOSAR MALIGAS
1209210,UJUNG PADANG,12.08.30,UJUNG PADANG
1210030,SIDIKALANG,12.11.01,SIDIKALANG
1210031,BERAMPU,12.11.13,BERAMPU
1210032,SITINJO,12.11.15,SITINJO
1210040,PARBULUAN,12.11.10,PARBULUAN
1210050,SUMBUL,12.11.02,SUMBUL
1210051,SILAHISABUNGAN,12.11.14,SILAHISABUNGAN
1210060,SILIMA PUNGGA-PUNGGA,12.11.05,SILIMA PUNGGA PUNGGA
1210061,LAE PARIRA,12.11.11,LAE PARIRA
1210070,SIEMPAT NEMPU,12.11.04,SIEMPAT NEMPU
1210080,SIEMPAT NEMPU HULU,12.11.07,SIEMPAT NEMPU HULU
1210090,SIEMPAT NEMPU HILIR,12.11.08,SIEMPAT NEMPU HILIR
1210100,TIGA LINGGA,12.11.03,TIGALINGGA
1210101,GUNUNG SITEMBER,12.11.12,GUNUNG SITEMBER
1210110,PEGAGAN HILIR,12.11.09,PEGAGAN HILIR
1210120,TANAH PINEM,12.11.06,TANAH PINEM
1211010,MARDINGDING,12.06.10,MARDINGDING
1211020,LAUBALENG,12.06.09,LAUBALENG
1211030,TIGA BINANGA,12.06.08,TIGABINANGA
1211040,JUHAR,12.06.07,JUHAR
1211050,MUNTE,12.06.06,MUNTE
1211060,KUTA BULUH,12.06.13,KUTABULUH
1211070,PAYUNG,12.06.11,PAYUNG
1211071,TIGANDERKET,12.06.17,TIGANDERKET
1211080,SIMPANG EMPAT,12.06.12,SIMPANG EMPAT
1211081,NAMAN TERAN,12.06.16,NAMAN TERAN
